STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
384,VCF,VinaCafé Biên Hòa,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
385,VCG,VINACONEX,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
386,VCI,Chứng khoán Vietcap,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
387,VDP,Dược phẩm VIDIPHA,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
388,VDS,Chứng khoán Rồng Việt,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
389,VFG,Khử trùng Việt Nam,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
390,VGC,Tổng Công ty Viglacera,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
391,VHC,Thủy sản Vĩnh Hoàn,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
392,VID,Viễn Đông,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
393,VIP,Vận tải Xăng dầu VIPCO,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
394,VIX,Chứng khoán VIX,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
395,VMD,Y Dược phẩm Vimedimex,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
396,VND,Chứng khoán VNDIRECT,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
397,VNE,Xây dựng điện Việt Nam,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
398,VNG,DL Thành Thành Công,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
399,VNL,Vinalink Logistics,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
400,VNS,Ánh Dương Việt Nam,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
401,VOS,Vận tải Biển Việt Nam,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
402,VPD,Phát triển Điện lực Việt Nam,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
403,VPG,Đầu tư TMại XNK Việt Phát,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
404,VPH,Vạn Phát Hưng,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
405,VPI,Đầu tư Văn Phú - Invest,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
406,VPS,Thuốc sát trùng Việt Nam,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
407,VRC,Bất động sản và Đầu tư VRC,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
408,VSC,VICONSHIP,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
409,VSH,Thủy điện Vĩnh Sơn - Sông Hinh,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
410,VSI,Đầu tư và Xây dựng Cấp thoát nước,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản
411,VTB,Viettronics Tân Bình,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
412,VTO,VITACO,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
413,VTP,Bưu chính Viettel,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh
414,YBM,Khoáng sản CN Yên Bái,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
415,YEG,Tập đoàn Yeah1,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Giải trí & Truyền thông
416,AAV,Việt Tiên Sơn Địa ốc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
417,ADC,Mĩ thuật và Truyền thông,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
418,ALT,Văn hóa Tân Bình,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
419,AMC,Khoáng sản Á Châu,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
420,AME,Cơ điện Alphanam,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
421,AMV,Dược-TB Y tế Việt Mỹ,HNX,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
422,API,Đầu tư Châu Á - Thái Bình Dương,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
423,APS,CK Châu Á - TBD,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
424,ARM,XNK Hàng không,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Nhà cung cấp thiết bị
425,ATS,Tập đoàn Đầu tư ATS,HNX,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Nhà hàng và quán bar
426,BAB,Ngân hàng Bắc Á,HNX,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
427,BAX,Công ty Thống Nhất,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
428,BBS,Bao bì Xi măng Bút Sơn,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
429,BCC,Xi măng Bỉm Sơn,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
430,BCF,Thực phẩm Bích Chi,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
431,BCH,Dược Bảo Châu,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
432,BDB,Sách Bình Định,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
433,BED,Sách Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
434,BKC,Khoáng sản Bắc Kạn,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
435,BNA,Tập đoàn Đầu tư Bảo Ngọc,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
436,BPC,Bao bì Bỉm Sơn,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
437,BSC,Dịch vụ Bến Thành,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
438,BST,Sách và Thiết bị Bình Thuận,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
439,BTS,Xi măng Bút Sơn,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
440,BTW,Cấp nước Bến Thành,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
441,BVS,Chứng khoán Bảo Việt,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
442,BXH,Bao bì Xi măng HP,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
443,C69,Xây dựng 1369,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
444,CAG,Cảng An Giang,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
445,CAN,Đồ hộp Hạ Long,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
446,CAP,Lâm nông sản Yên Bái,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
447,CAR,Tập đoàn Giáo dục Trí Việt,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm
448,CCR,Cảng Cam Ranh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
449,CDN,Cảng Đà Nẵng,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
450,CEO,Tập đoàn CEO,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
451,CET,HTC Holding ,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
452,CIA,DV Sân Bay Cam Ranh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
453,CJC,Cơ điện Miền Trung,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
454,CKV,CokyVina,HNX,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
455,CLH,Xi măng La Hiên,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
456,CLM,Xuất nhập khẩu Than - Vinacomin,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
457,CMC,Đầu tư CMC,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
458,CMS,Tập đoàn CMH Việt Nam,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
459,CPC,Thuốc sát trùng Cần Thơ,HNX,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
460,CSC,Tập đoàn COTANA,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
461,CST,Than Cao Sơn - TKV,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
462,CTB,Bơm Hải Dương,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
463,CTP,Hoà Bình Takara,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
464,CTT,Chế tạo máy Vinacomin,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
465,CVN,Vinam Group,HNX,Dược phẩm và Y tế,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
466,CX8,Constrexim số 8,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
467,D11,Địa ốc 11,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
468,DAD,Phát triển GD Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
469,DAE,Sách Giáo dục Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
470,DC2,DIC Số 2,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
471,DDG,Đầu tư CN XNK Đông Dương,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
472,DHP,Điện cơ Hải Phòng,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
473,DHT,Dược phẩm Hà Tây,HNX,Dịch vụ Tiêu dùng,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối dược phẩm
474,DIH,PT Xây dựng Hội An,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
475,DL1,Tập đoàn Alpha 7,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
476,DNC,Điện nước Hải Phòng,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
477,DNP,Nhựa Đồng Nai,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
478,DP3,Dược Phẩm TW3,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
479,DS3,Quản lý Đường sông số 3,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
480,DST,Đầu tư Sao Thăng Long,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
481,DTC,Viglacera Đông Triều,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
482,DTD,Đầu tư Phát triển Thành Đạt,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
483,DTG,Dược phẩm Tipharco,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
484,DTK,Vinacomin Power,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
485,DVM,Dược liệu Việt Nam,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
486,DXP,Cảng Đoạn Xá,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
487,EBS,Sách Giáo dục Hà Nội,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
488,ECI,Bản đồ và tranh ảnh GD,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
489,EID,Phát triển GD Hà Nội,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
490,EVS,Chứng khoán Everest,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
491,FID,Đầu tư và PT doanh nghiệp VN,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
492,GDW,Cấp nước Gia Định,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
493,GIC,ĐT Dịch vụ và PT Xanh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
494,GKM,Khang Minh Group,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
495,GLT,KT Điện Toàn Cầu,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Điện tử tiêu dùng
496,GMA,G-Automobile,HNX,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
497,GMX,Gạch ngói Mỹ Xuân,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
498,HAD,Bia Hà Nội - Hải Dương,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
499,HAT,TM Bia Hà Nội,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
500,HBS,Chứng khoán Hòa Bình,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
501,HCC,Bê tông Hòa Cầm,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
502,HCT,TM - DV - Vận tải Xi măng Hải Phòng ,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
503,HDA,Hãng sơn Đông Á,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
504,HEV,Sách Đại học - Dạy nghề,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
505,HGM,Khoáng sản Hà Giang,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
506,HHC,Bánh kẹo Hải Hà,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
507,HJS,Thủy điện Nậm Mu,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
508,HKT,Đầu tư QP Xanh,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
509,HLC,Than Hà Lầm,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
510,HLD,Bất động sản HUDLAND,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
511,HMH,Tập đoàn Hải Minh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
512,HMR,Đá Hoàng Mai,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
513,HOM,Xi măng VICEM Hoàng Mai,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
514,HTC,Thương mại Hóc Môn,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
515,HUT,Tasco,HNX,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
516,HVT,Hóa chất Việt trì,HNX,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
517,ICG,Xây dựng Sông Hồng,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
518,IDC,IDICO,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
519,IDJ,Đầu tư IDJ Việt Nam,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
520,IDV,PT Hạ tầng Vĩnh Phúc,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
521,INC,Tư vấn Đầu tư IDICO,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
522,INN,Bao bì và In Nông Nghiệp,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
523,IPA,Tập đoàn Đầu tư I.P.A,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
524,ITQ,Tập đoàn Thiên Quang,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
525,IVS,Chứng khoán Guotai Junan (Việt Nam),HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
526,KDM,Tập đoàn GCL,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
527,KHS,Thủy sản Kiên Hùng,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
528,KKC,Tập đoàn Thành Thái,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
529,KMT,Kim khí Miền Trung,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
530,KSD,Đầu tư DNA,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Đồ gia dụng lâu bền
531,KSF,Tập đoàn Sunshine,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
532,KSQ,CNC Capital Việt Nam,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
533,KST,KASATI,HNX,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
534,KSV,Khoáng sản TKV,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
535,KTS,Đường Kon Tum,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
536,L14,Licogi 14,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
537,L18,LICOGI - 18,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
538,L40,Đầu tư và Xây dựng 40,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
539,LAS,Hóa chất Lâm Thao,HNX,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
540,LBE,Thương mại và Dịch vụ LVA,HNX,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
541,LCD,Thí nghiệm cơ điện,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
542,LDP,Dược Lâm Đồng - Ladophar,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
543,LHC,XD Thủy lợi Lâm Đồng,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
544,LIG,Licogi 13,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
545,MAC,Cung ứng & DVKT Hàng Hải,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Xe tải & Đóng tàu
546,MAS,Sân bay Đà Nẵng,HNX,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
547,MBG,Tập đoàn MBG,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
548,MBS,Chứng khoán MB,HNX,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
549,MCC,Gạch ngói cao cấp,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
550,MCF,Cơ khí và Lương thực Thực phẩm,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
551,MCO,BDC Việt Nam,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
552,MDC,Than Mông Dương,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
553,MDD,Công ty Mai Động,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
554,MED,Dược Mediplantex,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
555,MEL,Thép Mê Lin,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
556,MKV,Dược Thú Y Cai Lậy,HNX,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm
557,MST,Đầu tư MST,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
558,MVB,Mỏ Việt Bắc - TKV,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
559,NAG,Tập đoàn Nagakawa,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
560,NAP,Cảng Nghệ Tĩnh,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
561,NBC,Than Núi Béo,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
562,NBP,Nhiệt điện Ninh Bình,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
563,NBW,Cấp nước Nhà Bè,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
564,NDN,PT Nhà Đà Nẵng,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
565,NDX,Phát triển Nhà Đà Nẵng,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
566,NET,Bột giặt Net,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
567,NFC,Phân lân Ninh Bình,HNX,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
568,NHC,Gạch ngói Nhị Hiệp,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
569,NRC,Tập đoàn Danh Khôi,HNX,Tài chính,Bất động sản,Bất động sản,Bất động sản
570,NSH,Nhôm Sông Hồng,HNX,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Nhôm
571,NST,Thuốc lá Ngân Sơn,HNX,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Thuốc lá,Thuốc lá
572,NTH,Thủy điện Nước Trong,HNX,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
573,NTP,Nhựa Tiền Phong,HNX,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
574,NVB,Ngân hàng Quốc Dân,HNX,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
575,OCH,Khách sạn và Dịch vụ OCH,HNX,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
576,ONE,Truyền thông Số 1,HNX,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Phần cứng
577,PBP,Bao bì Dầu khí VN,HNX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
578,PCE,Phân bón và Hóa chất DK Miền Trung,HNX,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
